Subject,Time point,Reference,Dice,Jaccard,PPV,TPR,LFPR,LTPR,VD,SD,Manual Volume,Segmentation Volume
test13,4,2,0.7101,0.5505,0.8933,0.5892,0.4375,0.7778,0.3404,2.2087,1037,684
test14,1,1,0.5546,0.3837,0.9206,0.3968,0.0952,0.4688,0.569,2.7313,2747,1184
test14,2,1,0.6381,0.4686,0.8927,0.4965,0.3143,0.6316,0.4438,3.1944,2898,1612
test14,3,1,0.7061,0.5457,0.8587,0.5996,0.3404,0.6744,0.3018,1.7289,3244,2265
test14,4,1,0.7072,0.547,0.8568,0.6021,0.1951,0.7561,0.2973,1.7142,3458,2430
test14,5,1,0.725,0.5686,0.7911,0.6691,0.3404,0.7619,0.1542,1.704,3339,2824
test14,1,2,0.4743,0.3109,0.8801,0.3246,0.3333,0.4194,0.6312,5.9012,3210,1184
test14,2,2,0.5184,0.3499,0.8524,0.3725,0.2,0.3235,0.563,3.0307,3689,1612
test14,3,2,0.7086,0.5488,0.8049,0.633,0.2979,0.5,0.2135,1.6794,2880,2265
test14,4,2,0.533,0.3633,0.8794,0.3824,0.0976,0.2319,0.5652,3.3932,5589,2430
test14,5,2,0.6155,0.4446,0.7312,0.5314,0.1277,0.3736,0.2733,2.3207,3886,2824
Subject,Volume Correlation,,,,,,,,,,,
All,0.86347,,0.6653,0.5137,0.8517,0.5885,0.2924,0.6153,0.3847,2.5855,15648.2869,11784.1475
,,,,,,,,,,,,
,,,,,,,,,,,,
Score,92.52,,,,,,,,,,,
